ID,Langue,Argument,Section,Clé,Sourate,Verset,Arabe,Français,Anglais,Traduction cible,Statut,Notes
"ce:argument-2:quranicArchitecture:verse-3","ce","2","quranicArchitecture","arguments[1].quranicArchitecture.verses[2].translation","Сурат Al-Aḥzâb","36","وَمَا كَانَ لِمُؤْمِنٍ وَلَا مُؤْمِنَةٍ إِذَا قَضَى اللَّهُ وَرَسُولُهُ أَمْرًا أَن يَكُونَ لَهُمُ الْخِيَرَةُ مِنْ أَمْرِهِمْ","« Il n'appartient pas à un croyant ni à une croyante, lorsqu'Allah et Son Messager ont décidé d'une affaire, d'avoir encore le choix... »","","Яц муъма стагана‚ я муъма зудчунна Дала а‚ Цуьнан элчано а цхьа гIуллакх кхочушдича шайн гIуллакхах /шайн дезарг/ харжан бакъо.","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-3:theirArgument:verse-1","ce","3","theirArgument","arguments[2].theirArgument.verses[0].translation","Сурат Yûsuf","40","إِنِ الْحُكْمُ إِلَّا لِلَّهِ","« Le jugement n'appartient qu'à Allah. »","","Хьукам Делан бен ма дац.","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-3:theirArgument:verse-2","ce","3","theirArgument","arguments[2].theirArgument.verses[1].translation","Сурат Al-Anʿâm","57","إِنِ الْحُكْمُ إِلَّا لِلَّهِ ۖ يَقُصُّ الْحَقَّ ۖ وَهُوَ خَيْرُ الْفَاصِلِينَ","« Le jugement n'appartient qu'à Allah : Il tranche en toute vérité et Il est le meilleur des juges. »","","Хьукма Делан бен дац – Цо дуьйцу бакъдерг‚ Иза дика къастамбийриг ма ву.","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-3:theirArgument:verse-3","ce","3","theirArgument","arguments[2].theirArgument.verses[2].translation","Сурат Al-Kahf","26","وَلَا يُشْرِكُ فِي حُكْمِهِ أَحَدًا","« Et Il n'associe personne à Son jugement. »","And He associates no one in His judgment.","Шен хьукамехь цхьа а накъост ца лоцу Цо.","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-3:quranicArchitecture:verse-1","ce","3","quranicArchitecture","arguments[2].quranicArchitecture.verses[0].translation","Сурат Al-Aʿrâf","157","وَيُحِلُّ لَهُمُ الطَّيِّبَاتِ وَيُحَرِّمُ عَلَيْهِمُ الْخَبَائِثَ","« Il leur rend licites les bonnes choses et leur interdit les mauvaises. »","","цIена дерг царна хьанал деш волу‚ боьханиг шайна хьарам деш волу","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-3:quranicArchitecture:verse-2","ce","3","quranicArchitecture","arguments[2].quranicArchitecture.verses[1].translation","Сурат An-Nisâʾ","59","أَطِيعُوا اللَّهَ وَأَطِيعُوا الرَّسُولَ وَأُولِي الْأَمْرِ مِنكُمْ","« Obéissez à Allah, obéissez au Messager et à ceux d'entre vous qui détiennent l'autorité. »","","Шу муьтIахь хилалаш Далла‚ шу муьтIахь хилалаш элчанна а‚ шайх гIуллакх карахь долчарна а.","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-4:theirArgument:verse-1","ce","4","theirArgument","arguments[3].theirArgument.verses[0].translation","Сурат Al-Māʾidah","99","مَّا عَلَى الرَّسُولِ إِلَّا الْبَلَاغُ","« Il n'incombe au Messager que la transmission. »","","Элчанна тIехь дIакхачор а бен дац.","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-4:theirArgument:verse-2","ce","4","theirArgument","arguments[3].theirArgument.verses[1].translation","Сурат An-Nûr","54","وَإِن تُطِيعُوهُ تَهْتَدُوا ۚ وَمَا عَلَى الرَّسُولِ إِلَّا الْبَلَاغُ الْمُبِينُ","« Et si vous lui obéissez, vous serez bien guidés. Et il n'incombe au Messager que la transmission claire. »","","Цуна /элчана/ муьтIахь шу хилахь – шу нийсачу новкъахь ду. Элчана-м тIехь дац билгала дIакхачор бен.","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-4:quranicArchitecture:verse-2","ce","4","quranicArchitecture","arguments[3].quranicArchitecture.verses[1].translation","Сурат Al-Baqarah","151","يَتْلُو عَلَيْكُمْ آيَاتِنَا وَيُزَكِّيكُمْ وَيُعَلِّمُكُمُ الْكِتَابَ وَالْحِكْمَةَ","« Il vous récite Nos versets, vous purifie, et vous enseigne le Livre et la Sagesse. »","","Цо доьшу шуна Тхан аяташ‚ цо шу цIандеш‚ Iамадеш шуна жайна а‚ хьекъалалла а.","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-4:quranicArchitecture:verse-3","ce","4","quranicArchitecture","arguments[3].quranicArchitecture.verses[2].translation","Сурат Al-Aḥzâb","21","لَّقَدْ كَانَ لَكُمْ فِي رَسُولِ اللَّهِ أُسْوَةٌ حَسَنَةٌ","« Vous avez certes dans le Messager d'Allah un excellent modèle. »","","Баккъалла а, шуна хилира Делан элчанехь хаза мисал.","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-5:theirArgument:verse-1","ce","5","theirArgument","arguments[4].theirArgument.verses[0].translation","Сурат Al-Ḥijr","9","إِنَّا نَحْنُ نَزَّلْنَا الذِّكْرَ وَإِنَّا لَهُ لَحَافِظُونَ","« En vérité, c'est Nous qui avons fait descendre le Rappel, et c'est Nous qui en sommes gardien. »","","Оха боссийна и хьехам (КъурIан). Оха и Iалашбийр а бу.","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-5:quranicArchitecture:verse-1","ce","5","quranicArchitecture","arguments[4].quranicArchitecture.verses[0].translation","Сурат An-Nisâʾ","59","أَطِيعُوا اللَّهَ وَأَطِيعُوا الرَّسُولَ","« Obéissez à Allah et obéissez au Messager. »","","Шу муьтIахь хилалаш Далла‚ шу муьтIахь хилалаш элчанна а.","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-5:quranicArchitecture:verse-2","ce","5","quranicArchitecture","arguments[4].quranicArchitecture.verses[1].translation","Сурат Al-Aḥzâb","21","لَّقَدْ كَانَ لَكُمْ فِي رَسُولِ اللَّهِ أُسْوَةٌ حَسَنَةٌ","« Vous avez certes dans le Messager d'Allah un excellent modèle. »","","Баккъалла а, шуна хилира Делан элчанехь хаза мисал.","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-7:quranicArchitecture:verse-1","ce","7","quranicArchitecture","arguments[6].quranicArchitecture.verses[0].translation","Сурат An-Nisâʾ","59","أَطِيعُوا اللَّهَ وَأَطِيعُوا الرَّسُولَ","« Obéissez à Allah et obéissez au Messager. »","","Шу муьтIахь хилалаш Далла‚ шу муьтIахь хилалаш элчанна а.","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-7:quranicArchitecture:verse-2","ce","7","quranicArchitecture","arguments[6].quranicArchitecture.verses[1].translation","Сурат An-Nisâʾ","65","حَتَّىٰ يُحَكِّمُوكَ فِيمَا شَجَرَ بَيْنَهُمْ","« Jusqu'à ce qu'ils te prennent pour juge dans leurs différends. »","","шайна юкъа доьжначун тIера хьукма хьоьга дойтуш","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-8:theirArgument:verse-1","ce","8","theirArgument","arguments[7].theirArgument.verses[0].translation","Сурат Al-Jâthiyah","6","تِلْكَ آيَاتُ اللَّهِ نَتْلُوهَا عَلَيْكَ بِالْحَقِّ ۖ فَبِأَيِّ حَدِيثٍ بَعْدَ اللَّهِ وَآيَاتِهِ يُؤْمِنُونَ","« Voilà les versets d'Allah que Nous te récitons en toute vérité. En quel discours (hadīth), après Allah et Ses versets, croiront-ils donc ? »","","ХIорш Делан аяташ ду‚ Оха доьшу уьш хьуна бакъдолчуьнца. Муьлхачу хабарех Делал а‚ Цуьнан аятил тIаьхьа теша уьш?","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-8:theirArgument:verse-2","ce","8","theirArgument","arguments[7].theirArgument.verses[1].translation","Сурат Al-Mursalât","50","فَبِأَيِّ حَدِيثٍ بَعْدَهُ يُؤْمِنُونَ","« En quel discours (hadīth) après cela croiront-ils donc ? »","","Муьлхачу дийцарах цул тIаьхьа уьш тешар бу?","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-8:theirArgument:verse-3","ce","8","theirArgument","arguments[7].theirArgument.verses[2].translation","Сурат Luqmân","6","وَمِنَ النَّاسِ مَن يَشْتَرِي لَهْوَ الْحَدِيثِ","« Et parmi les hommes, il en est qui achètent des discours futiles (lahw al-hadīth)... »","","Нахах ву шегахь Iилма доцуш синкъераман хабар оьцуш верг.","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-8:quranicArchitecture:verse-1","ce","8","quranicArchitecture","arguments[7].quranicArchitecture.verses[0].translation","Сурат Al-Jâthiyah","6","فَبِأَيِّ حَدِيثٍ بَعْدَ اللَّهِ وَآيَاتِهِ يُؤْمِنُونَ","« En quel discours, après Allah et Ses versets, croiront-ils donc ? »","","Муьлхачу хабарех Делал а‚ Цуьнан аятил тIаьхьа теша уьш?","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-9:theirArgument:verse-1","ce","9","theirArgument","arguments[8].theirArgument.verses[0].translation","Сурат ʿAbasa","1-2","عَبَسَ وَتَوَلَّىٰ أَن جَاءَهُ الْأَعْمَىٰ","« Il s'est renfrogné et s'est détourné parce que l'aveugle est venu à lui. »","","Юьхь хабина дIавирзи шена тIе бIаьргаш боцург вогIу‚ аьлла.","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-9:theirArgument:verse-2","ce","9","theirArgument","arguments[8].theirArgument.verses[1].translation","Сурат At-Tawbah","43","عَفَا اللَّهُ عَنكَ لِمَ أَذِنتَ لَهُمْ","« Qu'Allah te pardonne ! Pourquoi leur as-tu donné permission ? »","","Дела къинтIера ваьр хьуна! Ахьа хIунда пурба делла царна?","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-9:theirArgument:verse-3","ce","9","theirArgument","arguments[8].theirArgument.verses[2].translation","Сурат At-Taḥrîm","1","يَا أَيُّهَا النَّبِيُّ لِمَ تُحَرِّمُ مَا أَحَلَّ اللَّهُ لَكَ","« Ô Prophète ! Pourquoi t'interdis-tu ce qu'Allah t'a rendu licite ? »","","ХIай пайхамар! Ахьа хIунда хьарам до Дала хьуна хьанал динарг?","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-9:quranicArchitecture:verse-1","ce","9","quranicArchitecture","arguments[8].quranicArchitecture.verses[0].translation","Сурат An-Najm","3-4","وَمَا يَنطِقُ عَنِ الْهَوَىٰ إِنْ هُوَ إِلَّا وَحْيٌ يُوحَىٰ","« Et il ne prononce rien sous l'effet de la passion ; ce n'est rien d'autre qu'une révélation inspirée. »","","Цо ца дуьйцу шегара /шена дезарг/. Иза деккъа вехьий ду цуьнга дIахоуьйтуш долу /Дала/.","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-9:quranicArchitecture:verse-2","ce","9","quranicArchitecture","arguments[8].quranicArchitecture.verses[1].translation","Сурат Al-Ḥâqqah","44-46","وَلَوْ تَقَوَّلَ عَلَيْنَا بَعْضَ الْأَقَاوِيلِ لَأَخَذْنَا مِنْهُ بِالْيَمِينِ ثُمَّ لَقَطَعْنَا مِنْهُ الْوَتِينَ","« Et s'il avait forgé contre Nous quelques paroles, Nous l'aurions saisi de la main droite, puis Nous lui aurions tranché l'aorte. »","","Цо Тхуна аьллехьара цхьацца (Оха аьлла доцу) дешнаш‚ Оха схьалаьцна хир вара иза аьтту куьйга‚ тIаккха хадийна хир бара цуьнан деган пха.","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-10:quranicArchitecture:verse-1","ce","10","quranicArchitecture","arguments[9].quranicArchitecture.verses[0].translation","Сурат Al-Aḥzâb","21","لَّقَدْ كَانَ لَكُمْ فِي رَسُولِ اللَّهِ أُسْوَةٌ حَسَنَةٌ","« Vous avez certes dans le Messager d'Allah un excellent modèle. »","","Баккъалла а, шуна хилира Делан элчанехь хаза мисал.","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
